EmployeeID,Name,Age,Gender,Department,JobTitle,City,Education,YearsOfExperience,Salary,Bonus,PerformanceScore,PerformanceRating,JoiningDate,Email,Phone
EMP10072,Lin Das,51.0,M,Human Resources,operations manager,Toronto,mba,27.0,4755028.0,335102.0,5.6,a,2005-04-14,lin.das2753@company.org,8268026793
EMP14763,Mariam Thompson,53.0,Other,logistics,Director,Austin,BCA,,1042703.0,100807.0,,poor,2024-01-19,mariam.thompson602@outlook.com,0438531410
EMP11202,Mia Huang,30.0,Female,sales,Financial Analyst,Ahmedabad,Ph.D,12.0,2908543.0,400685.0,4.5,a,2009-10-21,mia.huang4519@gmail.com,5326011590
EMP10165,Tariq Das,35.0,FEMALE,FINANCE,Financial Analyst,Dammam,BE,inf,3398173.0,464527.0,7.2,Good,2005-08-28,tariq.das987@hotmail.com,1416934000
EMP10641,Liu Chatterjee,33.0,Female,Legal,Product Manager,Dammam,diploma,8.0,4517173.0,386529.0,8.3,B,2007-07-25,liu.chatterjee2319@gmail.com,6913086439
EMP10346,Amir Akhtar,54.0,Other,Customer Support,ux designer,Sharjah,B.Arch,16.0,2898440.0,468868.0,8.1,EXCELLENT,2006-05-20,amir.akhtar2225@hotmail.com,6956586626
EMP13721,Zara Ali,37.0,Female,IT,legal counsel,Jakarta,MBA (HR),1.0,2604721.0,49083.0,8.2,b,2019-11-19,zara.ali1936@gmail.com,
EMP14299,Ashley Torres,38.0,FEMALE,quality,Sales Executive,Manila,BBA,16.0,3800298.0,315429.0,9.4,C,2022-03-12,ashley.torres2998@yahoo.com,N/A
EMP12915,Kavya Mirza,52.0,male,Legal,Intern,Bristol,MBBS,25.0,2533320.0,55540.0,7.5,,2016-08-28,kavya.mirza1129@yahoo.com,4324717451
EMP14408,James Qureshi,41.0,FEMALE,Admin,Logistics Coordinator,Abu Dhabi,PhD,19.0,4585826.0,407580.0,9.0,GOOD,2022-08-19,james.qureshi5884@gmail.com,5338760008
EMP11057,Priya Hassan,40.0,Female,admin,Intern,Bristol,B.E,34.0,-inf,60211.0,5.9,GOOD,2009-03-23,priya.hassan4009@yahoo.com,1302731610
EMP12402,Michael Young,27.0,f,R&D,Business Analyst,Leeds,Diploma,17.0,4442607.0,351573.0,2.6,EXCELLENT,2014-08-10,michael.young6490@outlook.com,4154876331
EMP12412,Karim Shah,41.0,MALE,Logistics,Cloud Architect,Glasgow,M.Tech,33.0,4214760.0,441987.0,9.7,EXCELLENT,2014-08-24,karim.shah3615@gmail.com,7250277172
EMP11153,Liu Sanchez,53.0,m,engineering,Intern,Doha,M.Com,7.0,3130588.0,281494.0,8.6,excellent,2009-08-11,liu.sanchez8427@company.org,2361878983
EMP12051,Xiao Rao,37.0,MALE,Human Resources,Logistics Coordinator,New York,M.Tech,2.0,3347061.0,392250.0,7.1,B,2013-03-15,xiao.rao7229@outlook.com,0118404813
EMP10566,Yang Thompson,46.0,Female,Sales,PRODUCT MANAGER,Kuwait City,Ph.D,25.0,1192620.0,286840.0,2.2,Good,2007-04-06,yang.thompson994@company.org,6797838445
EMP10882,Omar Sharma,,male,ADMIN,Cloud Architect,London,LLB,10.0,2412117.0,118965.0,5.4,POOR,2008-07-11,omar.sharma6317@company.org,4391407104
EMP12012,Lin Ibrahim,60.0,m,HR,director,Singapore,bba,25.0,1054757.0,90607.0,5.7,B,2013-01-17,lin.ibrahim763@outlook.com,5061835125
EMP14020,Liam Baig,21.0,female,Admin,intern,Bristol,BTech,28.0,3828677.0,362628.0,-inf,EXCELLENT,,liam.baig4977@company.org,3931771220
EMP11968,Amit Gonzalez,60.0,Male,Legal,Financial Analyst,Jeddah,B.Com,9.0,768680.0,184848.0,8.9,Good,2012-11-13,amit.gonzalez5961@hotmail.com,3524387012
EMP14265,Carlos Torres,39.0,Female,hr,financial analyst,Edinburgh,PhD,10.0,1733232.0,184548.0,7.3,C,2022-01-22,carlos.torres2138@gmail.com,4176250497
EMP14556,Tariq Zhang,51.0,M,hr,logistics coordinator,Jakarta,PhD,20.0,1718980.0,246841.0,9.7,d,2023-03-23,tariq.zhang8948@yahoo.com,5311604626
EMP12496,Lakshmi Shah,56.0,M,finance,software engineer,Jaipur,BBA,14.0,1463080.0,182590.0,1.4,a,2014-12-25,lakshmi.shah9403@hotmail.com,1807482610
EMP11999,Sarah Martin,38.0,Male,Human Resources,SENIOR DEVELOPER,Ottawa,llb,6.0,2572471.0,338558.0,6.4,C,2012-12-29,sarah.martin8713@gmail.com,9569465810
EMP14659,Deepak Hashmi,42.0,male,marketing,data analyst,San Diego,MBA (Finance),2.0,1252571.0,244885.0,9.3,Good,2023-08-20,deepak.hashmi9839@yahoo.com,1747287907
EMP12710,Jose Alvi,,OTHER,R&D,Data Analyst,Riyadh,b.com,36.0,3345293.0,469182.0,7.5,poor,2015-11-03,jose.alvi9477@gmail.com,3104046830
EMP11897,Amanda Ansari,32.0,m,hr,Project Manager,Hong Kong,MBBS,16.0,2658907.0,,,EXCELLENT,2012-08-02,amanda.ansari7798@hotmail.com,9568474283
EMP13489,Wei Rizvi,41.0,M,Human Resources,Database Admin,Doha,BTech,30.0,4569535.0,65908.0,9.7,A-,2018-12-15,wei.rizvi480@company.org,3385393858
EMP11852,Ana Iyer,,female,admin,network engineer,Sharjah,b.com,29.0,3366915.0,411148.0,5.5,EXCELLENT,2012-05-28,ana.iyer6026@yahoo.com,5871430057
EMP12227,Hassan Jackson,33.0,Female,customer support,Intern,Leeds,BBA,26.0,4933728.0,65900.0,6.0,A-,2013-11-27,hassan.jackson1215@outlook.com,6175552928
EMP12722,Sneha Yang,24.0,Female,ADMIN,PRODUCT MANAGER,Glasgow,MBA (Finance),24.0,4353322.0,355392.0,7.6,C,2015-11-20,sneha.yang6173@hotmail.com,6520554313
EMP11280,John Johnson,58.0,f,MARKETING,Business Analyst,Bangalore,diploma,22.0,1900047.0,153299.0,6.4,a,2010-02-12,john.johnson2318@gmail.com,6159563146
EMP12739,Sneha Gupta,58.0,male,it,Sales Executive,Jakarta,B.Com,3.0,336146.0,184103.0,9.5,A+,2015-12-15,sneha.gupta9014@yahoo.com,4009696584
EMP10415,Pooja Gupta,47.0,M,legal,Database Admin,Muscat,PHD,27.0,1585486.0,409777.0,4.3,D,2006-08-28,pooja.gupta1464@company.org,5292938799
EMP13816,Kiran Bukhari,43.0,Male,Admin,Intern,Los Angeles,PhD,11.0,3755843.0,204647.0,4.9,A,2020-04-06,kiran.bukhari4074@outlook.com,1521409417
EMP10668,Emily Kumar,,other,Legal,Network Engineer,Leeds,MBBS,21.0,1583288.0,223123.0,3.4,poor,2007-09-02,emily.kumar6607@outlook.com,7396274865
EMP14256,Maria Chatterjee,55.0,other,Legal,director,Dallas,BBA,0.0,839190.0,33549.0,5.8,Poor,2022-01-08,maria.chatterjee2010@hotmail.com,5826686381
EMP11105,Valentina Kumar,33.0,Male,Procurement,legal counsel,Singapore,BTech,17.0,3374350.0,309829.0,4.1,a,2009-06-02,valentina.kumar527@gmail.com,4172013612
EMP13760,Sophia Anderson,34.0,F,Legal,procurement manager,Glasgow,B.Sc,2.0,,256807.0,5.1,POOR,2020-01-15,sophia.anderson255@outlook.com,6726422304
EMP12474,Deepak Li,37.0,female,CUSTOMER SUPPORT,QA Engineer,Nottingham,BTech,20.0,3535492.0,301651.0,3.6,a+,2014-11-23,deepak.li4904@yahoo.com,7805595314
EMP11195,Nadia Hassan,,male,CUSTOMER SUPPORT,procurement manager,Vancouver,DIPLOMA,37.0,2382280.0,79277.0,6.9,b,2009-10-11,nadia.hassan3649@company.org,7973049005
EMP14207,Rania Alvi,55.0,male,Human Resources,cloud architect,Hyderabad,MCA,14.0,3135732.0,116890.0,2.5,,2021-10-29,rania.alvi7700@company.org,8640032498
EMP10004,Wei Davis,30.0,M,procurement,Data Analyst,Chennai,BE,26.0,2486668.0,283015.0,9.5,A,2005-01-05,wei.davis5659@gmail.com,6760019003
EMP14926,Pooja Zhang,23.0,male,engineering,network engineer,Beijing,llb,26.0,3724318.0,205859.0,9.0,D,2024-09-13,pooja.zhang6919@yahoo.com,6149457962
EMP10967,Layla Siddiqui,55.0,F,LOGISTICS,procurement manager,Brisbane,M.Com,15.0,4049469.0,40426.0,3.3,A+,2008-11-12,layla.siddiqui6182@hotmail.com,9912687887
EMP13546,Ava Smith,36.0,female,Procurement,logistics coordinator,Mumbai,MCA,21.0,1260389.0,270920.0,4.1,c,2019-03-08,ava.smith7326@company.org,0030008374
EMP11200,John Banerjee,46.0,F,quality,PROJECT MANAGER,Mumbai,LLB,,2215985.0,215380.0,-inf,c,2009-10-18,john.banerjee5195@company.org,0917888667
EMP14983,Rania Sharma,47.0,other,admin,cloud architect,Nottingham,M.Tech,20.0,4383513.0,461794.0,9.3,good,2024-12-06,rania.sharma8329@gmail.com,6814357833
EMP10302,Liu Khan,41.0,female,engineering,Procurement Manager,Vancouver,BTECH,18.0,4688235.0,61574.0,7.8,excellent,2006-03-16,liu.khan4509@company.org,3647960513
EMP13154,Nadia Ansari,30.0,male,Admin,Marketing Specialist,Manchester,B.Com,16.0,4882643.0,215011.0,6.4,Poor,2017-08-12,nadia.ansari3916@outlook.com,6514778768
EMP14887,Yusuf Sharma,51.0,Male,SALES,Marketing Specialist,Tokyo,DIPLOMA,10.0,626109.0,121865.0,9.7,b,2024-07-18,yusuf.sharma5863@yahoo.com,3647342073
EMP13780,Aarav Zhang,35.0,female,Quality,PRODUCT MANAGER,Ottawa,Post Graduate,13.0,4305738.0,113682.0,8.0,,2020-02-13,aarav.zhang6753@outlook.com,0037818239
EMP10820,Zara Akhtar,52.0,Female,logistics,intern,Perth,mba,3.0,1145828.0,372443.0,5.7,GOOD,2008-04-11,zara.akhtar2735@hotmail.com,6527544378
EMP14971,Isabella Miller,44.0,MALE,operations,Intern,Sharjah,BE,12.0,1546201.0,320261.0,4.1,poor,2024-11-18,isabella.miller5650@hotmail.com,6192240033
EMP14150,Ana Wu,59.0,F,HR,hr manager,Surat,BBA,5.0,3451012.0,217579.0,7.0,,2021-08-07,ana.wu205@gmail.com,9979797965
EMP12599,Ashley Young,37.0,Female,admin,Software Engineer,Bangalore,llb,32.0,4938436.0,159368.0,9.7,A-,2015-05-24,ashley.young8675@yahoo.com,2940608235
EMP11777,Aarav Martin,37.0,male,sales,PRODUCT MANAGER,Singapore,Post Graduate,18.0,4197521.0,234286.0,4.4,b,2012-02-08,aarav.martin3367@gmail.com,5727148357
EMP11061,Layla Reddy,34.0,m,hr,network engineer,Riyadh,MBA (Finance),25.0,1188820.0,147856.0,6.1,B,,layla.reddy5085@outlook.com,6920187024
EMP11697,Ting Zhang,44.0,Female,operations,financial analyst,Dubai,MBA (Finance),33.0,4318911.0,45210.0,9.8,Poor,,ting.zhang3346@gmail.com,9509450250
EMP12514,Omar Ansari,47.0,male,hr,UX Designer,Liverpool,B.Tech.,7.0,,254136.0,9.7,,2015-01-20,omar.ansari5890@outlook.com,n/a
EMP14645,Deepak Lewis,24.0,Male,CUSTOMER SUPPORT,Director,Ahmedabad,Post Graduate,15.0,773733.0,100859.0,,D,2023-07-31,deepak.lewis3883@gmail.com,7127112909
EMP13556,Kavya Joshi,43.0,other,sales,SCRUM MASTER,Muscat,M.Tech,24.0,4076484.0,264978.0,6.7,A,2019-03-23,kavya.joshi4563@gmail.com,4117946180
EMP14958,Yang Miller,,OTHER,procurement,Intern,Sharjah,B.Tech.,29.0,859027.0,281792.0,3.1,a,,yang.miller7235@hotmail.com,7039582636
EMP13525,Sofia Garcia,25.0,female,MARKETING,Network Engineer,Chicago,BTECH,27.0,2597865.0,204037.0,5.0,poor,2019-02-05,sofia.garcia1966@company.org,3124526094
EMP10717,Valentina Perez,44.0,FEMALE,LOGISTICS,business analyst,Bangkok,b.com,8.0,4094907.0,276176.0,8.0,POOR,2007-11-13,valentina.perez71@gmail.com,7704706329
EMP14191,Layla Lewis,59.0,other,CUSTOMER SUPPORT,database admin,Manila,Post Graduate,24.0,517480.0,239494.0,3.6,B,2021-10-05,layla.lewis6970@hotmail.com,9615828408
EMP10848,Dina Thompson,31.0,Female,Logistics,database admin,Phoenix,Post Graduate,12.0,4939565.0,115213.0,7.8,GOOD,2008-05-22,dina.thompson1437@yahoo.com,4062373941
EMP13602,Amanda Mirza,42.0,OTHER,ENGINEERING,logistics coordinator,Pune,mba (finance),5.0,4892075.0,236841.0,8.5,a,2019-05-29,amanda.mirza6908@gmail.com,4640383228
EMP14675,Michael Miller,51.0,Female,sales,Cloud Architect,Sharjah,mba (finance),0.0,2652982.0,371180.0,1.5,GOOD,2023-09-13,michael.miller835@gmail.com,0256798090
EMP11976,Sara Martinez,32.0,OTHER,SALES,QA Engineer,Kuwait City,bba,20.0,2125497.0,472274.0,8.2,C,2012-11-25,sara.martinez6991@hotmail.com,2887393256
EMP14577,Chen Lewis,49.0,M,Admin,data scientist,Jakarta,llb,12.0,-inf,459136.0,3.7,A-,2023-04-22,invalid_email,4301339652
EMP14667,Michael Joshi,43.0,female,R&D,Security Analyst,Vancouver,BBA,22.0,1095575.0,20530.0,2.1,Good,2023-09-01,,9277794907
EMP14402,Dina Sheikh,21.0,f,quality,software engineer,Beijing,MBA (HR),9.0,1008149.0,105849.0,5.7,Good,2022-08-10,dina.sheikh5486@hotmail.com,8738821394
EMP10654,Lucas Ramirez,56.0,m,ADMIN,intern,Birmingham,MBA,23.0,2970247.0,54893.0,2.9,Poor,2007-08-13,lucas.ramirez960@outlook.com,7266591222
EMP11425,Emma Malik,34.0,m,admin,Procurement Manager,Dammam,Diploma,32.0,3752397.0,163751.0,6.5,A-,2010-09-12,emma.malik1781@company.org,1826589153
EMP12138,Ali Ali,,Other,Engineering,Sales Executive,Dubai,BTECH,16.0,4679983.0,337560.0,3.4,EXCELLENT,2013-07-20,ali.ali13@hotmail.com,4719211327
EMP14971,Isabella Miller,44.0,MALE,operations,Intern,Sharjah,BE,12.0,1546201.0,320261.0,4.1,poor,2024-11-18,isabella.miller5650@hotmail.com,6192240033
EMP11768,Ethan Rao,,MALE,SALES,Data Analyst,Melbourne,bba,30.0,1770087.0,45112.0,6.3,Poor,2012-01-26,ethan.rao2275@yahoo.com,7354713151
EMP10239,Mia Liu,47.0,f,Operations,UX Designer,Bangalore,M.Tech,22.0,3041596.0,246363.0,2.4,A+,2005-12-14,mia.liu7801@company.org,1918339300
EMP14272,Amanda Ahmed,26.0,MALE,legal,Procurement Manager,Montreal,Ph.D,21.0,3188861.0,373519.0,4.5,B,2022-02-01,amanda.ahmed4765@gmail.com,1151666585
EMP10292,Hassan Brown,59.0,Male,engineering,cloud architect,Philadelphia,BSc,15.0,1588735.0,135347.0,3.1,C,2006-03-02,hassan.brown455@company.org,8325721676
EMP11285,Sofia Young,,Male,MARKETING,Director,Phoenix,MCA,18.0,4017064.0,42102.0,6.7,POOR,2010-02-20,sofia.young7443@outlook.com,6357397515
EMP13131,Faisal Martinez,28.0,M,admin,DevOps Engineer,Sydney,B.Com,3.0,1642139.0,312089.0,3.6,good,2017-07-10,faisal.martinez7004@gmail.com,8107992726
EMP10534,Yusuf Li,46.0,f,Logistics,Operations Manager,London,M.Sc,20.0,1036998.0,302487.0,7.0,Good,2007-02-18,yusuf.li125@outlook.com,2113312163
EMP14650,Ana Ali,-5.0,other,Human Resources,devops engineer,Manama,MBA (Finance),35.0,1534224.0,335619.0,9.9,Good,2023-08-07,ana.ali4207@outlook.com,1731585038
EMP13726,Nadia Yang,60.0,OTHER,Admin,Financial Analyst,Phoenix,Post Graduate,32.0,2884960.0,314470.0,6.4,excellent,2019-11-26,nadia.yang6232@gmail.com,0791154957
EMP12749,Meena Lopez,47.0,m,Human Resources,SCRUM MASTER,Beijing,B.Com,29.0,3795044.0,310034.0,9.3,Poor,2015-12-30,meena.lopez6695@outlook.com,3875252343
EMP11773,Faisal Bukhari,53.0,male,CUSTOMER SUPPORT,Network Engineer,Jakarta,B.E,28.0,925813.0,451176.0,4.5,Good,2012-02-03,faisal.bukhari962@outlook.com,8704645955
EMP14536,Jessica Anderson,22.0,Male,Sales,Cloud Architect,Chicago,MBBS,30.0,1348282.0,189144.0,3.4,poor,2023-02-22,jessica.anderson670@gmail.com,3024803010
EMP10167,Mohammed Ahmed,26.0,m,HR,SENIOR DEVELOPER,Seoul,Post Graduate,21.0,999687.0,82957.0,,b,2005-08-31,mohammed.ahmed8582@hotmail.com,6740936117
EMP14232,Ethan Martin,42.0,female,FINANCE,procurement manager,Kolkata,Post Graduate,0.0,1267930.0,452506.0,4.0,d,,ethan.martin5758@hotmail.com,1150114423
EMP10316,Robert Harris,52.0,M,it,operations manager,San Antonio,mba (finance),4.0,4320103.0,,3.0,POOR,2006-04-06,invalid_email,1698872840
EMP11417,Fatima Thomas,49.0,Female,engineering,ux designer,Calgary,B.Arch,1.0,2543184.0,380977.0,8.0,good,2010-08-31,fatima.thomas7167@company.org,6578446831
EMP11814,Xiao Liu,40.0,female,Engineering,DevOps Engineer,Dallas,B.Sc,9.0,1011273.0,183953.0,9.2,A+,2012-04-02,xiao.liu733@gmail.com,8489850897
EMP13157,Nadia Hassan,,M,hr,Legal Counsel,Phoenix,diploma,21.0,4546594.0,59767.0,2.2,A,2017-08-17,nadia.hassan9051@gmail.com,0491600170
EMP11137,Oliver Huang,26.0,MALE,logistics,logistics coordinator,Singapore,MCA,20.0,3364715.0,492292.0,7.4,POOR,2009-07-18,oliver.huang7534@outlook.com,3482243982
EMP14545,Isabella Robinson,41.0,other,hr,business analyst,Ottawa,BSc,5.0,3352660.0,422373.0,5.6,a+,2023-03-07,isabella.robinson1910@outlook.com,6300055695
EMP12467,Pedro Zhang,59.0,other,Engineering,Software Engineer,Bangalore,BE,10.0,2473940.0,471857.0,3.7,EXCELLENT,2014-11-13,pedro.zhang8760@yahoo.com,6816745325
EMP10871,Nour Gupta,44.0,m,IT,PRODUCT MANAGER,Bangalore,llb,29.0,787708.0,,6.1,b,2008-06-25,nour.gupta844@gmail.com,3379668128
EMP13823,Amanda Li,42.0,female,admin,cloud architect,Hong Kong,llb,5.0,1837124.0,469022.0,9.7,A-,2020-04-16,amanda.li5856@company.org,2092544546
EMP11831,Kiran Zhang,30.0,Other,Human Resources,business analyst,Glasgow,BBA,14.0,2940822.0,362366.0,1.4,POOR,2012-04-27,kiran.zhang8436@hotmail.com,5090018309
EMP14053,Karim Miller,51.0,Male,QUALITY,Software Engineer,Manama,bba,34.0,4425361.0,296229.0,9.3,B,2021-03-18,karim.miller3846@yahoo.com,7885077996
EMP13316,Zara Hussain,22.0,male,ENGINEERING,Procurement Manager,Seoul,bba,-3.0,4389473.0,110098.0,2.9,a,2018-04-06,zara.hussain659@yahoo.com,7602735412
EMP11076,Rania Liu,59.0,Female,Customer Support,network engineer,Perth,BE,15.0,3636934.0,497626.0,2.3,Good,2009-04-20,rania.liu7293@yahoo.com,1872854103
EMP13378,Nadia Sheikh,21.0,Other,IT,Project Manager,Hyderabad,mba,25.0,3149993.0,153392.0,2.2,a+,2018-07-06,nadia.sheikh369@yahoo.com,1997582862
EMP13054,Amir Hernandez,50.0,Other,Legal,Sales Executive,Houston,M.Tech,6.0,1077978.0,69513.0,9.0,Good,2017-03-19,amir.hernandez4214@gmail.com,6905440497
EMP11359,Anjali Baig,56.0,m,MARKETING,PRODUCT MANAGER,Montreal,diploma,10.0,2658893.0,391832.0,7.9,EXCELLENT,2010-06-08,anjali.baig5811@outlook.com,0394274582
EMP10603,Sara Liu,48.0,M,finance,devops engineer,Ottawa,M.Tech,21.0,2427615.0,497879.0,3.8,POOR,,sara.liu571@company.org,6472334161
EMP12785,Xiao Brown,33.0,m,Operations,Product Manager,Singapore,mba,15.0,3514791.0,49387.0,3.6,a,2016-02-20,xiao.brown3037@yahoo.com,2936127379
